资源编号,分类,路径,类型,现有索引,当前用途说明,建议动作,确认结果,备注
ART-0033,角色,Assets/Resources/Anim/Character/Boss1/Attack_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0034,角色,Assets/Resources/Anim/Character/Boss1/Controller.controller,动画控制器（CONTROLLER）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0035,角色,Assets/Resources/Anim/Character/Boss1/Death_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0036,角色,Assets/Resources/Anim/Character/Boss1/Death_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0037,角色,Assets/Resources/Anim/Character/Boss1/Death_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0038,角色,Assets/Resources/Anim/Character/Boss1/Death_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0039,角色,Assets/Resources/Anim/Character/Boss1/Idle_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0040,角色,Assets/Resources/Anim/Character/Boss1/Idle_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0041,角色,Assets/Resources/Anim/Character/Boss1/Idle_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0042,角色,Assets/Resources/Anim/Character/Boss1/Idle_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0043,角色,Assets/Resources/Anim/Character/Boss1/Walk_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0044,角色,Assets/Resources/Anim/Character/Boss1/Walk_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0045,角色,Assets/Resources/Anim/Character/Boss1/Walk_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0046,角色,Assets/Resources/Anim/Character/Boss1/Walk_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0047,角色,Assets/Resources/Anim/Character/Player1/Attack_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0048,角色,Assets/Resources/Anim/Character/Player1/Attack_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0049,角色,Assets/Resources/Anim/Character/Player1/Attack_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0050,角色,Assets/Resources/Anim/Character/Player1/Attack_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0051,角色,Assets/Resources/Anim/Character/Player1/Controller.controller,动画控制器（CONTROLLER）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0052,角色,Assets/Resources/Anim/Character/Player1/Death_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0053,角色,Assets/Resources/Anim/Character/Player1/Death_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0054,角色,Assets/Resources/Anim/Character/Player1/Death_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0055,角色,Assets/Resources/Anim/Character/Player1/Death_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0056,角色,Assets/Resources/Anim/Character/Player1/Idle_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0057,角色,Assets/Resources/Anim/Character/Player1/Idle_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0058,角色,Assets/Resources/Anim/Character/Player1/Idle_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0059,角色,Assets/Resources/Anim/Character/Player1/Idle_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0060,角色,Assets/Resources/Anim/Character/Player1/Walk_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0061,角色,Assets/Resources/Anim/Character/Player1/Walk_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0062,角色,Assets/Resources/Anim/Character/Player1/Walk_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0063,角色,Assets/Resources/Anim/Character/Player1/Walk_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0064,角色,Assets/Resources/Anim/Character/Player2/Controller.controller,动画控制器（CONTROLLER）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0065,角色,Assets/Resources/Anim/Character/Player2/Idle_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0066,角色,Assets/Resources/Anim/Character/Player2/Idle_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0067,角色,Assets/Resources/Anim/Character/Player2/Idle_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0068,角色,Assets/Resources/Anim/Character/Player2/Idle_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0069,角色,Assets/Resources/Anim/Character/Player3/Controller.controller,动画控制器（CONTROLLER）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0070,角色,Assets/Resources/Anim/Character/Player3/Idle_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0071,角色,Assets/Resources/Anim/Character/Player3/Idle_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0072,角色,Assets/Resources/Anim/Character/Player3/Idle_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0073,角色,Assets/Resources/Anim/Character/Player3/Idle_Up.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0074,字体,Assets/Resources/Font/SIMHEI.TTF,字体（TTF）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0075,角色,Assets/Resources/Prefab/Character/Boss1.prefab,预制体（PREFAB）,运行时索引：actor.boss,运行时通过资源键 actor.boss 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0076,角色,Assets/Resources/Prefab/Character/Player1.prefab,预制体（PREFAB）,运行时索引：actor.player.1,运行时通过资源键 actor.player.1 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0077,角色,Assets/Resources/Prefab/Character/Player2.prefab,预制体（PREFAB）,运行时索引：npc.merchant,运行时通过资源键 npc.merchant 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0078,角色,Assets/Resources/Prefab/Character/Player3.prefab,预制体（PREFAB）,运行时索引：npc.tattooist,运行时通过资源键 npc.tattooist 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0079,界面,Assets/Resources/Prefab/UI/CharacterSelect.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0080,界面,Assets/Resources/Prefab/UI/CombatHUD.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0081,界面,Assets/Resources/Prefab/UI/MainMenu.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0082,界面,Assets/Resources/Prefab/UI/PauseMenu.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0083,界面,Assets/Resources/Prefab/UI/RunResult.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0084,界面,Assets/Resources/Prefab/UI/SelfTattoo.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0085,界面,Assets/Resources/Prefab/UI/Settings.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0086,界面,Assets/Resources/Prefab/UI/Shop.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0087,界面,Assets/Resources/Prefab/UI/StartupSelect.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0088,界面,Assets/Resources/Prefab/UI/TattooEnchant.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0089,界面,Assets/Resources/Prefab/UI/TattooStudio.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0090,界面,Assets/Resources/Prefab/UI/ThreeChoice.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0091,其他美术,Assets/Resources/Sprite/Affixes/affix_accuracy.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0092,其他美术,Assets/Resources/Sprite/Affixes/affix_attack_speed.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0093,其他美术,Assets/Resources/Sprite/Affixes/affix_cooldown.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0094,其他美术,Assets/Resources/Sprite/Affixes/affix_crit_chance.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0095,其他美术,Assets/Resources/Sprite/Affixes/affix_crit_damage.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0096,其他美术,Assets/Resources/Sprite/Affixes/affix_fire_damage.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0097,其他美术,Assets/Resources/Sprite/Affixes/affix_lifesteal.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0098,其他美术,Assets/Resources/Sprite/Affixes/affix_range.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0099,角色,Assets/Resources/Sprite/Character/Boss1/Attack/Down.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0100,角色,Assets/Resources/Sprite/Character/Boss1/Attack/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0101,角色,Assets/Resources/Sprite/Character/Boss1/Attack/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0102,角色,Assets/Resources/Sprite/Character/Boss1/Attack/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0103,角色,Assets/Resources/Sprite/Character/Boss1/Death/Down.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0104,角色,Assets/Resources/Sprite/Character/Boss1/Death/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0105,角色,Assets/Resources/Sprite/Character/Boss1/Death/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0106,角色,Assets/Resources/Sprite/Character/Boss1/Death/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0107,角色,Assets/Resources/Sprite/Character/Boss1/Idle/Down.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0108,角色,Assets/Resources/Sprite/Character/Boss1/Idle/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0109,角色,Assets/Resources/Sprite/Character/Boss1/Idle/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0110,角色,Assets/Resources/Sprite/Character/Boss1/Idle/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0111,角色,Assets/Resources/Sprite/Character/Boss1/Walk/Down.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0112,角色,Assets/Resources/Sprite/Character/Boss1/Walk/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0113,角色,Assets/Resources/Sprite/Character/Boss1/Walk/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0114,角色,Assets/Resources/Sprite/Character/Boss1/Walk/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0115,角色,Assets/Resources/Sprite/Character/Player1/Attack/Down.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0116,角色,Assets/Resources/Sprite/Character/Player1/Attack/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0117,角色,Assets/Resources/Sprite/Character/Player1/Attack/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0118,角色,Assets/Resources/Sprite/Character/Player1/Attack/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0119,角色,Assets/Resources/Sprite/Character/Player1/Death/Down.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0120,角色,Assets/Resources/Sprite/Character/Player1/Death/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0121,角色,Assets/Resources/Sprite/Character/Player1/Death/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0122,角色,Assets/Resources/Sprite/Character/Player1/Death/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0123,角色,Assets/Resources/Sprite/Character/Player1/Idle/Down.png,图片（PNG）,运行时索引：ui.character.1,运行时通过资源键 ui.character.1 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0124,角色,Assets/Resources/Sprite/Character/Player1/Idle/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0125,角色,Assets/Resources/Sprite/Character/Player1/Idle/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0126,角色,Assets/Resources/Sprite/Character/Player1/Idle/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0127,角色,Assets/Resources/Sprite/Character/Player1/Walk/Down.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0128,角色,Assets/Resources/Sprite/Character/Player1/Walk/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0129,角色,Assets/Resources/Sprite/Character/Player1/Walk/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0130,角色,Assets/Resources/Sprite/Character/Player1/Walk/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0131,角色,Assets/Resources/Sprite/Character/Player2/Idle/Down.png,图片（PNG）,运行时索引：ui.character.2,运行时通过资源键 ui.character.2 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0132,角色,Assets/Resources/Sprite/Character/Player2/Idle/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0133,角色,Assets/Resources/Sprite/Character/Player2/Idle/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0134,角色,Assets/Resources/Sprite/Character/Player2/Idle/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0135,角色,Assets/Resources/Sprite/Character/Player3/Idle/Down.png,图片（PNG）,运行时索引：ui.character.3,运行时通过资源键 ui.character.3 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0136,角色,Assets/Resources/Sprite/Character/Player3/Idle/Left.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0137,角色,Assets/Resources/Sprite/Character/Player3/Idle/Right.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0138,角色,Assets/Resources/Sprite/Character/Player3/Idle/Up.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0139,角色,Assets/Resources/Sprite/Characters/Bosses/boss_ai_guardian.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0140,角色,Assets/Resources/Sprite/Characters/Bosses/boss_alien_consciousness.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0141,角色,Assets/Resources/Sprite/Characters/Bosses/boss_virus_mutant.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0142,角色,Assets/Resources/Sprite/Characters/NPCs/npc_merchant.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0143,角色,Assets/Resources/Sprite/Characters/NPCs/npc_tattoo_artist.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0144,角色,Assets/Resources/Sprite/Characters/Player/character_player_idle_r0c0.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0145,角色,Assets/Resources/Sprite/Characters/Player/character_player_idle_r0c1.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0146,角色,Assets/Resources/Sprite/Characters/Player/character_player_idle_r0c2.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0147,角色,Assets/Resources/Sprite/Characters/Player/character_player_idle_r0c3.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0148,角色,Assets/Resources/Sprite/Characters/Player/character_player_idle_r1c0.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0149,角色,Assets/Resources/Sprite/Characters/Player/character_player_idle_r1c1.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0150,角色,Assets/Resources/Sprite/Characters/Player/character_player_idle_r1c2.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0151,角色,Assets/Resources/Sprite/Characters/Player/character_player_idle_r1c3.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0152,其他美术,Assets/Resources/Sprite/Consumables/consumable_antidote.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0153,其他美术,Assets/Resources/Sprite/Consumables/consumable_eraser.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0154,其他美术,Assets/Resources/Sprite/Consumables/consumable_gold_pile.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0155,其他美术,Assets/Resources/Sprite/Consumables/consumable_repair_kit.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0156,其他美术,Assets/Resources/Sprite/Consumables/consumable_universal_paint.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0157,其他美术,Assets/Resources/Sprite/Environments/env_floor_blood_rock.png,图片（PNG）,运行时索引：map.floor.blood,运行时通过资源键 map.floor.blood 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0158,其他美术,Assets/Resources/Sprite/Environments/env_floor_metal.png,图片（PNG）,运行时索引：map.floor.metal,运行时通过资源键 map.floor.metal 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0159,其他美术,Assets/Resources/Sprite/Environments/env_floor_ruins.png,图片（PNG）,运行时索引：map.floor.ruins,运行时通过资源键 map.floor.ruins 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
